neo_id,name,discovery_date,potentially_hazardous
35670,35670 (1998 SU27),1998-09-24,0
36017,36017 (1999 ND43),1999-07-14,0
36183,36183 (1999 TX16),1997-11-26,0
36236,36236 (1999 VV),1979-11-26,0
36284,36284 (2000 DM8),1999-12-30,0
37336,37336 (2001 RM),1977-07-13,0
37638,37638 (1993 VB),1993-11-06,1
37655,37655 Illapa (1994 PM),1994-08-01,1
38071,38071 (1999 GU3),1999-04-11,1
38086,38086 Beowulf (1999 JB),1992-05-01,0
38091,38091 (1999 JT3),1980-09-30,0
38239,38239 (1999 OR3),1999-07-27,0
39557,39557 Gielgud (1992 JG),1992-05-02,0
39565,39565 (1992 SL),1950-12-09,0
39572,39572 (1993 DQ1),1993-02-26,1
39796,39796 (1997 TD),1987-05-10,0
40263,40263 (1999 FQ5),1988-02-23,0
40267,40267 (1999 GJ4),1955-03-25,0
40329,40329 (1999 ML),1999-06-20,0
41429,41429 (2000 GE2),1998-03-25,1
41440,41440 (2000 HZ23),1998-04-26,0
42286,42286 (2001 TN41),1975-09-09,0
48603,48603 (1995 BC2),1986-09-10,0
52340,52340 (1992 SY),1980-03-19,0
52381,52381 (1993 HA),1993-04-17,0
52387,52387 Huitzilopochtli (1993 OM7),1993-07-20,0
52689,52689 (1998 FF2),1998-02-25,0
52750,52750 (1998 KK17),1992-08-29,0
52760,52760 (1998 ML14),1998-06-24,1
52761,52761 (1998 MN14),1998-06-25,0
52762,52762 (1998 MT24),1953-10-02,0
52768,52768 (1998 OR2),1987-06-30,1
53110,53110 (1999 AR7),1998-11-28,0
53319,53319 (1999 JM8),1999-04-10,1
53409,53409 (1999 LU7),1999-06-10,0
53426,53426 (1999 SL5),1999-09-28,1
53429,53429 (1999 TF5),1999-10-03,0
53430,53430 (1999 TY16),1999-10-13,0
53435,53435 Leonard (1999 VM40),1974-08-13,0
53550,53550 (2000 BF19),1991-10-04,1
53789,53789 (2000 ED104),1955-04-16,1
54071,54071 (2000 GQ146),1988-10-03,0
54401,54401 (2000 LM),1989-10-28,0
54509,54509 YORP (2000 PH5),2000-08-03,0
54660,54660 (2000 UJ1),2000-10-19,0
54686,54686 (2001 DU8),1988-12-03,0
54690,54690 (2001 EB),1952-12-14,0
54789,54789 (2001 MZ7),1978-10-25,0
55408,55408 (2001 TC2),1979-11-13,0
55532,55532 (2001 WG2),1953-12-07,0
65674,65674 (1988 SM),1988-09-29,0
65679,65679 (1989 UQ),1954-11-20,1
65690,65690 (1991 DG),1991-02-20,1
65706,65706 (1992 NA),1992-07-01,0
65717,65717 (1993 BX3),1992-10-03,1
65733,65733 (1993 PC),1992-10-01,0
65803,65803 Didymos (1996 GT),2022-09-27,1
65909,65909 (1998 FH12),1998-03-25,1
65996,65996 (1998 MX5),1993-07-14,0
66008,66008 (1998 QH2),1996-06-23,0
66063,66063 (1998 RO1),1996-09-12,0
66146,66146 (1998 TU3),1982-12-04,0
66251,66251 (1999 GJ2),1984-10-12,0
66253,66253 (1999 GT3),1999-04-09,0
66272,66272 (1999 JW6),1999-05-13,0
66391,66391 Moshup (1999 KW4),1998-05-29,1
66400,66400 (1999 LT7),1987-04-21,0
66407,66407 (1999 LQ28),1982-07-27,0
66959,66959 (1999 XO35),1999-12-06,0
67367,67367 (2000 LY27),1976-05-27,1
67381,67381 (2000 OL8),2000-07-30,1
67399,67399 (2000 PJ6),1951-09-09,0
68031,68031 (2000 YK29),1993-03-22,0
68063,68063 (2000 YJ66),1989-10-04,0
68216,68216 (2001 CV26),2001-02-01,1
68267,68267 (2001 EA16),2001-03-04,0
68278,68278 (2001 FC7),1996-06-13,0
68346,68346 (2001 KZ66),1979-12-28,1
68347,68347 (2001 KB67),2001-05-30,1
68348,68348 (2001 LO7),1954-06-02,0
68350,68350 (2001 MK3),1955-02-13,0
68359,68359 (2001 OZ13),1995-02-04,0
68372,68372 (2001 PM9),2001-06-28,1
68548,68548 (2001 XR31),1994-04-06,1
68950,68950 (2002 QF15),1955-07-23,1
69230,69230 Hermes (1937 UB),1937-10-25,1
85182,85182 (1991 AQ),1991-01-14,1
85184,85184 (1991 JG1),1978-01-09,0
85236,85236 (1993 KH),1993-05-24,1
85275,85275 (1994 LY),1994-06-05,0
85490,85490 (1997 SE5),1982-04-20,0
85585,85585 Mjolnir (1998 FG2),1998-03-21,1
85628,85628 (1998 KV2),1998-05-22,0
85640,85640 (1998 OX4),1998-07-26,1
85709,85709 (1998 SG36),1998-09-18,0
85713,85713 (1998 SS49),1998-09-29,1
85770,85770 (1998 UP1),1990-10-12,0
85774,85774 (1998 UT18),1989-04-30,1
85804,85804 (1998 WQ5),1989-11-25,0
85818,85818 (1998 XM4),1993-05-24,0
85839,85839 (1998 YO4),1993-04-25,0
85867,85867 (1999 BY9),1995-09-19,0
85938,85938 (1999 DJ4),1999-02-24,1
85953,85953 (1999 FK21),1971-03-26,0
85989,85989 (1999 JD6),1990-06-22,1
85990,85990 (1999 JV6),1999-05-13,1
86039,86039 (1999 NC43),1999-06-11,1
86067,86067 (1999 RM28),1989-07-07,0
86324,86324 (1999 WA2),1999-11-16,0
86326,86326 (1999 WK13),1979-11-18,0
86450,86450 (2000 CK33),2000-01-25,0
86666,86666 (2000 FL10),2000-03-30,0
86667,86667 (2000 FO10),1988-05-11,0
86819,86819 (2000 GK137),1994-04-03,1
86829,86829 (2000 GR146),1974-06-17,0
86878,86878 (2000 HD24),1983-05-12,0
87024,87024 (2000 JS66),1979-01-06,0
87025,87025 (2000 JT66),2000-05-07,0
87309,87309 (2000 QP),1975-07-08,0
87311,87311 (2000 QJ1),1982-08-16,0
87684,87684 (2000 SY2),1977-10-07,1
88188,88188 (2000 XH44),1991-12-07,0
88213,88213 (2001 AF2),2001-01-02,0
88254,88254 (2001 FM129),1978-05-08,1
88263,88263 (2001 KQ1),1998-05-05,0
88264,88264 (2001 KN20),1998-10-29,0
88710,88710 (2001 SL9),1954-11-27,0
88959,88959 (2001 TZ44),2001-09-26,0
89136,89136 (2001 US16),2001-10-18,1
89355,89355 (2001 VS78),1978-06-23,0
89830,89830 (2002 CE),1982-05-25,1
89958,89958 (2002 LY45),2000-06-14,1
89959,89959 (2002 NT7),1954-07-10,1
90075,90075 (2002 VU94),1955-10-25,1
90147,90147 (2002 YK14),1987-01-29,0
90367,90367 (2003 LC5),1983-07-01,0
90373,90373 (2003 SZ219),1998-02-23,0
90403,90403 (2003 YE45),1989-09-12,1
90416,90416 (2003 YK118),1993-08-13,1
96189,96189 Pygmalion (1991 NT3),1986-03-19,0
96315,96315 (1997 AP10),1997-01-09,0
96536,96536 (1998 SO10),1976-11-24,0
96590,96590 (1998 XB),1992-01-01,0
96631,96631 (1999 FP59),1986-09-30,0
96744,96744 (1999 OW3),1999-07-18,0
97725,97725 (2000 GB147),2000-04-02,0
98943,98943 Torifune (2001 CC21),1982-11-10,0
99248,99248 (2001 KY66),1991-06-08,1
99799,99799 (2002 LJ3),1989-01-10,0
99907,99907 (1989 VA),1989-11-02,0
99935,99935 (2002 AV4),1955-01-29,0
99942,99942 Apophis (2004 MN4),2004-03-15,1
100004,100004 (1983 VA),1983-10-27,0
100085,100085 (1992 UY4),1979-06-29,1
100756,100756 (1998 FM5),1988-04-20,0
100926,100926 (1998 MQ),1979-12-19,0
101869,101869 (1999 MM),1999-06-12,1
101873,101873 (1999 NC5),1983-01-16,0
101955,101955 Bennu (1999 RQ36),1999-09-11,1
102873,102873 (1999 WK11),1980-09-30,0
103067,103067 (1999 XA143),1994-12-02,1
105140,105140 (2000 NL10),1952-09-17,0
105141,105141 (2000 NF11),1978-08-27,0
106538,106538 (2000 WK63),2000-11-26,0
106589,106589 (2000 WN107),2000-11-20,0
108519,108519 (2001 LF),1989-09-08,0
108906,108906 (2001 PL9),2001-08-05,0
111253,111253 (2001 XU10),2000-02-08,1
112221,112221 (2002 KH4),1995-07-01,0
112985,112985 (2002 RS28),1985-05-10,0
115052,115052 (2003 RD6),1979-02-23,0
136564,136564 (1977 VA),1977-10-11,0
136582,136582 (1992 BA),1992-01-27,0
136617,136617 (1994 CC),1988-09-14,1
136618,136618 (1994 CN2),1994-02-15,1
136635,136635 (1994 VA1),1994-11-05,0
136745,136745 (1995 WL8),1995-10-25,0
136770,136770 (1996 PC1),1996-08-11,0
136773,136773 (1996 TR6),1996-10-09,0
136793,136793 (1997 AQ18),1997-01-15,0
136795,136795 Tatsunokingo (1997 BQ),1997-01-16,1
136818,136818 Selqet (1997 MW1),1997-06-29,0
136839,136839 (1997 WT22),1988-12-13,0
136849,136849 (1998 CS1),1998-02-09,1
136874,136874 (1998 FH74),1995-05-04,0
136897,136897 (1998 HJ41),1998-04-30,0
136900,136900 (1998 HL49),1998-04-30,0
136923,136923 (1998 JH2),1986-11-02,0
136993,136993 (1998 ST49),1998-09-29,0
137032,137032 (1998 UO1),1992-10-20,0
137044,137044 (1998 UC50),1998-10-29,0
137052,137052 Tjelvar (1998 VO33),1998-11-15,0
137062,137062 (1998 WM),1987-10-16,0
137064,137064 (1998 WP5),1998-11-19,0
137078,137078 (1998 XZ4),1998-12-13,0
137084,137084 (1998 XS16),1994-12-03,0
137099,137099 (1998 YW3),1998-12-17,0
137108,137108 (1999 AN10),1955-01-26,1
137120,137120 (1999 BJ8),1999-01-14,1
137125,137125 (1999 CT3),1999-02-10,0
137126,137126 (1999 CF9),1999-01-15,1
137158,137158 (1999 FB),1998-05-24,0
