observatory_code,observatory_name,longitude,parallax_cos,parallax_sin
200,Beersel Hills Observatory,4.3036,0.63385,0.77088
201,Jonathan B. Postel Observatory,7.6033,0.69871,0.71332
202,"Tamaris Observatoire, La Seyne sur Mer",5.8997,0.73137,0.67971
203,GiaGa Observatory,8.99548,0.701614,0.710215
204,Schiaparelli Observatory,8.76972,0.697648,0.714307
205,"Obs. Casalecchio di Reno, Bologna",11.2731,0.71478,0.69703
206,"Haagaar Observatory, Eina",10.5667,0.4922,0.8677
207,Osservatorio Antonio Grosso,9.3065,0.70156,0.71025
208,Rivalta,9.5875,0.70893,0.70294
209,"Asiago Observatory, Cima Ekar, 67/92 cm Schmidt",11.56883,0.697904,0.7141
210,Alma-Ata,76.9573,0.73042,0.68104
211,Scandicci,11.1764,0.72338,0.68815
212,Observatorio La Dehesilla,-4.64253,0.803253,0.593708
213,Observatorio Montcabre,2.38539,0.749843,0.659421
214,Garching Observatory,11.6569,0.66709,0.74258
215,Buchloe,10.7328,0.67021,0.73981
216,Observatoire des Cote de Meuse,5.6914,0.65732,0.75114
217,Assah,77.87114,0.730114,0.681643
218,Hyderabad,78.4541,0.95444,0.29768
219,Japal-Rangapur,78.7283,0.95618,0.29216
220,"Vainu Bappu Observatory, Kavalur",78.8263,0.97627,0.21634
221,"IAS Observatory, Hakos",16.3617,0.919631,-0.392203
222,Yerres-Canotiers,2.4939,0.66113,0.74777
223,Madras,80.2464,0.97427,0.22465
224,Ottmarsheim,7.50171,0.673178,0.737048
225,Northwood Ridge Observatory,-71.175,0.7298,0.6814
226,"Guido Ruggieri Observatory, Padua",11.8858,0.70293,0.70888
227,"OrbitJet Observatory, Colden",-78.7147,0.73683,0.67392
228,"Bruno Zugna Observatory, Trieste",13.875,0.70038,0.71147
229,"G. C. Gloriosi Astronomical Observatory, Salerno",14.9743,0.75936,0.64857
230,Mt. Wendelstein Observatory,12.0133,0.6744,0.7363
231,Vesqueville,5.3983,0.64403,0.76253
232,Masquefa Observatory,1.3317,0.75,0.6593
233,"Sauro Donati Astronomical Observatory, San Vito",10.5403,0.72226,0.68931
234,Coddenham Observatory,1.12833,0.614951,0.785931
235,"CAST Observatory, Talmassons",13.11352,0.696669,0.714993
236,Tomsk,84.9465,0.5537,0.82995
237,Baugy,2.7333,0.6822,0.7288
238,Grorudalen Optical Observatory,10.9094,0.50204,0.86197
239,Trebur,8.4114,0.64506,0.76159
240,Herrenberg Sternwarte,8.83317,0.662308,0.746832
241,Schaerding,13.47,0.66465,0.74474
242,Varennes,1.6956,0.72681,0.6846
243,"Umbrella Observatory, Fredenbeck",9.413,0.59572,0.8005
244,Geocentric Occultation Observation,0.0,0.0,0.0
246,Klet Observatory-KLENOT,14.28476,0.659216,0.749664
248,Hipparcos,0.0,0.0,0.0
251,Arecibo,-66.75308,0.949577,0.312734
252,"Goldstone DSS 13, Fort Irwin",-116.79488,0.817719,0.573979
253,"Goldstone DSS 14, Fort Irwin",-116.88953,0.815913,0.57651
254,"Haystack, Westford",-71.48872,0.736973,0.673692
255,Yevpatoriya,33.18689,0.705965,0.705886
256,Green Bank,-79.83983,0.784451,0.61832
257,"Goldstone DSS 25, Fort Irwin",-116.87539,0.816796,0.575252
259,EISCAT Tromso UHF,19.22586,0.349828,0.933688
260,Siding Spring Observatory-DSS,149.0661,0.8556,-0.51626
261,Palomar Mountain-DSS,-116.85978,0.836325,0.546877
262,"European Southern Observatory, La Silla-DSS",-70.73374,0.87344,-0.486052
263,Canberra DSS 35,148.981456,0.8161761,-0.5760541
264,Canberra DSS 36,148.978544,0.8161819,-0.5760434
265,Canberra DSS 43,148.981267,0.8161085,-0.5761476
266,New Horizons KBO Search-Subaru,-155.47604,0.941711,0.337239
267,New Horizons KBO Search-CFHT,-155.46891,0.941717,0.33724
268,Magellan-Clay Telescope,-70.69197,0.875516,-0.482342
269,Magellan-Baade Telescope,-70.69086,0.87551,-0.482349
271,"Australia Telescope Compact Array, W196 reduction, DSS 47",149.550139,0.8640511,-0.5017897
272,Canberra DSS 34,148.981964,0.8161487,-0.5760919
276,Plonsk,20.38279,0.608295,0.791076
277,"Royal Observatory, Blackford Hill, Edinburgh",-3.1825,0.56158,0.82467
278,"Peking, Transit of Venus site",116.4494,0.76818,0.63809
279,"Seeberg Observatory, Gotha (1787-1857)",10.72822,0.631526,0.772827
280,Lilienthal,8.9118,0.60114,0.79646
281,Bologna,11.3522,0.71448,0.69733
282,Nimes,4.3603,0.72245,0.68912
283,Bremen,8.8163,0.60204,0.79579
284,Driesen,15.8311,0.60536,0.79329
285,"Flammarion Observatory, Juvisy",2.3708,0.66135,0.74759
286,Yunnan Observatory,102.7883,0.90694,0.42057
287,"Ceduna 30, UTAS",133.809832,0.8500849,-0.5249288
290,Mt. Graham-VATT,-109.89201,0.842743,0.537438
291,LPL/Spacewatch II,-111.59976,0.849471,0.52647
292,"Burlington, New Jersey",-74.8942,0.7663,0.64033
293,Burlington remote site,-74.4101,0.76936,0.63668
294,"Astrophysical Obs., College of Staten Island",-74.1533,0.76031,0.64739
295,"Catholic University Observatory, Washington",-77.0,0.7789,0.6251
296,"Dudley Observatory, Albany (after 1893)",-73.78,0.7366,0.67407
297,Middlebury,-73.181,0.7203,0.6913
298,Van Vleck Observatory,-72.6592,0.74943,0.65988
299,"Bosscha Observatory, Lembang",107.616,0.99316,-0.11808
300,Bisei Spaceguard Center-BATTeRS,133.54444,0.82337,0.56572
301,Mont Megantic,-71.1533,0.70279,0.70926
302,University of the Andes station,-71.12,0.99,0.15
303,"OAN de Llano del Hato, Merida",-70.8704,0.9889,0.15185
304,Las Campanas Observatory,-70.691415,0.875513,-0.482346
305,"Purple Mountain, Hainan Island station",109.5514,0.82066,0.56963
306,"Observatorio Taya Beixo, Barquisimeto",-69.3231,0.98477,0.17381
307,"Shattuck Observatory, Hanover",-72.2834,0.7241,0.68743
308,"Usuda Deep Space Center, 64-m, Nagano",138.362762,0.8087922,0.5865304
309,Cerro Paranal,-70.40431,0.909943,-0.414336
310,Minor Planet Center Test Code,-71.12836,0.739802,0.670574
312,"Tsingtao field station, Xisha Islands",112.334,0.9574,0.2877
318,Quinns Rock,115.691,0.85206,-0.5217
319,"Perth Observatory, Perth-Lowell Telescope",116.135,0.84883,-0.52702
320,Chiro Observatory,116.4381,0.85859,-0.51102
321,Craigie,115.7571,0.85078,-0.52378
322,"Perth Observatory, Bickley-MCT",116.134,0.84882,-0.52703
323,"Perth Observatory, Bickley",116.135,0.84882,-0.52703
324,"Peking Observatory, Shaho Station",116.3277,0.76598,0.64072
327,"Peking Observatory, Xinglong Station",117.575,0.76278,0.6447
330,"Purple Mountain Observatory, Nanking",118.8209,0.84828,0.52788
333,Desert Eagle Observatory,-110.4764,0.84936,0.52642
334,Tsingtao,120.3196,0.80925,0.58552
336,Lucy,0.0,0.0,0.0
337,Sheshan,121.1843,0.85708,0.51348
338,Psyche,0.0,0.0,0.0
339,Trace Gas Orbiter,0.0,0.0,0.0
340,Toyonaka,135.4853,0.82199,0.56762
341,Akashina,137.9486,0.80669,0.58923
342,Shishikui,134.3189,0.83425,0.54955
343,Younchun,127.1258,0.78688,0.61507
344,Bohyunsan Optical Astronomy Observatory,128.9767,0.80841,0.58695
