neo_id,diameter,absolute_magnitude,albedo,spectral_class
159454,0.577,18.04,0.367,
159459,1.769,16.31,0.187,
159504,2.324,16.97,0.052,
159518,1.784,18.01,0.038,
159560,1.156,17.14,0.209,
159686,1.845,16.34,0.162,
159857,3.07,15.46,0.13,
159929,2.62,17.72,0.026,
161989,1.9,17.31,0.09,S
161999,0.458,18.8,0.211,
162000,0.4,19.64,,
162038,1.959,16.69,0.105,
162058,0.847,17.99,0.186,
162080,0.777,19.93,0.035,
162116,0.538,19.54,0.116,
162142,0.462,18.78,0.25,S
162173,0.896,19.55,0.045,C
162181,0.729,18.2,0.175,
162269,1.01,16.97,0.274,
162385,0.812,18.59,0.115,
162463,1.048,17.97,0.084,
162483,0.906,17.53,0.236,
162510,1.406,17.6,0.089,
162566,4.299,15.73,0.071,
162567,0.335,19.97,0.173,C
162741,3.945,17.47,0.014,
162903,1.086,18.66,0.06,
162980,0.79,16.77,0.658,
162998,0.875,18.16,0.161,
163132,0.46,18.61,0.408,
163243,1.682,16.42,0.172,
163348,0.735,20.05,0.03,
163454,0.712,19.11,0.096,
163691,3.449,17.09,0.021,
163694,0.832,17.5,0.276,
163760,2.343,16.68,0.074,
163818,0.386,18.46,0.516,
163899,0.791,17.56,0.34,
164121,1.717,16.15,0.198,
164206,1.138,17.69,0.124,
164207,0.163,21.2,0.219,
168318,0.9,19.03,,
168378,0.841,16.91,0.509,
169352,0.316,19.37,0.405,
172034,0.631,17.84,0.336,
173689,0.724,18.25,0.161,
175706,1.196,18.31,0.072,C
175921,1.039,18.32,0.02,
184990,2.039,16.41,0.117,
185716,0.629,17.95,0.339,
185851,0.863,18.31,0.137,
187040,0.43,19.2,0.199,
190119,1.451,17.04,0.121,
190161,3.041,16.73,0.04,
190166,1.045,17.26,0.234,
194268,1.244,18.34,0.055,X
194386,0.916,16.95,0.353,S
198856,0.742,17.06,0.389,
200754,0.553,18.51,0.21,S
206378,0.376,18.76,0.414,
207945,0.423,19.61,0.161,
209924,1.861,16.29,0.185,
211871,0.411,18.85,0.315,
212359,1.261,16.72,0.232,
214088,2.423,15.34,0.25,
215442,1.075,18.53,0.08,
215588,0.488,19.42,0.118,
215757,0.78,17.88,0.241,
217628,1.4,16.68,,
218017,0.451,19.82,0.115,
218863,1.237,16.34,0.418,
219071,0.657,17.2,0.383,
220124,0.609,18.76,0.208,
221980,0.432,19.11,0.2,
225416,1.651,17.36,0.094,
226554,0.482,19.62,0.125,
228502,0.302,20.41,0.194,
230118,1.166,17.09,0.15,
230549,0.217,20.78,0.216,
230979,1.522,16.58,0.207,
231937,0.55,17.51,,
232382,1.123,17.25,0.154,
234061,2.9,17.69,0.019,
234145,0.344,21.58,0.045,
234341,0.344,18.93,0.493,
235086,1.024,17.36,0.168,
235756,1.136,18.58,0.042,
237551,0.63,18.44,0.234,
237805,0.703,17.4,0.43,
238063,1.47,16.57,0.225,
238456,0.328,19.43,0.312,
239849,0.45,18.65,0.317,
241370,0.764,17.42,0.224,
241596,1.548,17.23,0.105,
241662,0.898,17.66,0.2,
242147,1.687,17.03,0.108,
242187,0.605,17.99,0.334,
242191,0.37,19.02,0.334,
242450,2.914,14.64,0.274,
242643,1.989,17.39,0.041,
243025,2.123,16.05,0.139,
243147,0.912,17.39,0.28,
243566,0.881,17.37,0.091,
244977,0.495,18.36,0.235,
246138,0.588,18.25,0.269,
247156,1.655,18.16,0.033,
247517,0.269,19.59,0.357,
248083,2.358,16.13,0.126,
248590,4.726,16.26,0.018,
248926,2.907,17.13,0.04,
249886,1.201,17.62,0.051,
250458,0.63,18.0,0.282,
250614,1.617,16.22,0.269,
250620,0.654,18.07,0.26,
250680,0.398,19.63,0.147,
250706,0.535,18.55,0.322,
252399,0.291,19.41,0.478,
252558,0.533,20.36,0.062,
254419,0.629,17.76,0.408,
256412,4.444,16.93,0.014,
260277,0.47,18.27,0.419,
262623,0.761,18.64,0.122,
263976,0.785,18.34,0.125,
264357,0.113,21.17,0.037,
265196,0.361,18.84,0.31,
267221,0.562,19.85,0.097,
267337,0.439,18.05,0.578,
269690,0.888,18.47,0.098,
271480,0.709,17.66,0.352,
274138,0.747,17.77,0.24,
275611,1.483,18.15,0.046,
275974,0.626,18.68,0.216,
275976,2.381,16.17,0.094,
276049,3.5,16.64,0.07,C
276468,1.034,18.07,0.114,
276703,0.521,19.3,0.124,
276786,1.72,17.83,0.05,
277039,0.676,18.55,0.156,
277570,0.439,19.34,0.177,
277616,1.236,17.41,0.119,
277617,0.666,18.23,0.19,
285331,0.654,18.19,0.198,
285339,0.614,18.07,0.268,
285944,1.044,16.7,0.407,
294739,0.74,17.04,0.425,
297274,1.199,16.93,0.234,
297300,0.32,19.29,,
297418,0.407,18.51,0.388,
299582,0.622,18.23,0.288,
301844,0.4,19.7,,
303174,1.504,16.72,0.163,
303248,0.817,18.02,0.084,
303450,0.187,20.51,0.317,
304153,2.054,17.81,0.033,
304330,0.78,18.91,0.08,
306462,0.476,18.64,0.379,
307070,0.282,20.63,0.117,
307493,1.666,18.57,0.023,
307918,0.374,19.02,0.358,
308635,0.4,21.91,,C
310560,0.654,17.8,0.313,
311321,0.583,18.61,0.172,
311554,0.382,18.72,0.401,
312070,0.595,19.4,0.087,
315098,0.993,16.67,0.313,
315508,0.836,20.14,0.023,
322763,1.252,17.21,0.196,
322775,1.632,17.27,0.069,C
323179,1.17,18.1,0.068,
325102,0.361,20.17,0.124,
326388,1.142,18.38,0.071,
326683,0.518,18.48,0.315,
329915,1.012,17.05,0.249,
331792,1.275,15.9,0.499,
332775,0.467,19.7,0.098,
333578,0.204,20.18,0.352,
333889,0.919,18.24,0.11,
334673,0.57,17.98,0.376,
337119,0.521,18.6,0.235,
337248,0.846,20.08,0.025,
338347,1.42,18.31,0.046,
341843,0.4,20.05,0.137,
343166,0.67,17.42,0.431,
345646,0.413,19.74,0.117,
345705,0.406,18.58,0.402,
345722,0.653,18.23,0.258,
345813,1.377,17.8,0.069,
349068,0.496,18.3,0.343,
349074,1.081,18.39,0.067,
349219,0.583,18.13,0.272,
349925,0.92,17.34,0.229,
350513,1.77,18.06,0.043,X
355770,1.199,18.35,0.054,
356394,1.071,17.46,0.152,
357022,0.432,19.07,0.217,S
357024,0.255,19.47,0.43,
360191,0.4,21.08,,
361538,0.479,18.67,0.313,
363024,0.558,19.42,0.099,
363027,0.578,19.58,0.059,
363505,1.876,18.47,0.029,
363599,0.152,21.05,0.306,
363626,0.633,18.92,0.135,
363814,1.105,17.97,0.1,
363831,0.371,19.33,0.268,
364762,1.047,19.38,0.028,
364877,0.786,17.34,0.317,
365071,0.674,18.18,0.246,
365424,0.212,21.91,0.075,
365449,0.215,20.28,0.264,
366774,0.859,17.87,0.199,
367248,0.386,20.21,0.119,
367684,0.498,18.07,0.412,
368184,0.381,19.36,0.193,
369264,1.515,16.34,0.232,
369454,0.846,19.09,0.036,
371336,1.137,17.38,0.18,
371660,0.23,21.09,0.16,
373135,1.05,19.52,0.025,
374449,0.414,19.39,0.179,
377732,0.986,17.06,0.288,
380188,1.312,18.81,0.037,X
381181,0.602,19.68,0.064,
381677,0.472,18.36,0.346,
381906,0.52,17.8,0.451,
381989,0.783,19.87,0.02,
385186,0.811,17.64,0.223,S
385268,3.2,15.81,0.08,
385343,1.359,16.55,0.334,
385402,1.597,17.19,0.11,
386454,0.367,20.03,0.128,
386720,0.964,17.04,0.244,
