spkid,data_arc,condition_code
20190758,11507,0
20190788,8455,0
20191094,2406,0
20192559,7308,0
20192563,9718,0
20192642,11283,0
20193178,9061,0
20194006,7954,0
20194126,8851,0
20194268,8860,0
20194386,13961,0
20196068,3355,0
20196256,8055,0
20196625,9179,0
20197588,9126,0
20198752,10283,0
20198856,7609,0
20199003,6940,0
20199145,7292,0
20199801,9452,0
20200754,7728,0
20200840,11271,0
20202411,16385,0
20202435,6972,0
20202683,4080,1
20203015,7354,0
20203217,8905,0
20203471,11377,0
20204131,8721,0
20204232,8837,0
20205378,8915,0
20205388,8694,0
20205744,10224,0
20206359,8251,0
20206378,8777,0
20206910,9061,0
20207398,7632,0
20207945,25841,0
20207970,15834,0
20208023,9862,0
20208115,8889,0
20208565,8823,0
20208617,8728,0
20209215,2320,1
20209924,8489,0
20210012,7684,0
20211871,9449,0
20211914,14068,0
20212359,8797,0
20212546,8040,0
20213053,10001,0
20213869,7359,0
20214088,18357,0
20214869,7606,0
20215167,9429,0
20215188,9341,0
20215442,8050,0
20215588,8029,0
20215757,9839,0
20216115,7053,0
20216258,5694,0
20216523,8111,0
20216689,10330,0
20216707,8031,0
20216985,8148,0
20217013,8465,0
20217390,6506,0
20217430,8381,0
20217628,22716,0
20217796,7526,0
20217807,18525,0
20217837,8789,0
20218017,7866,0
20218863,8509,0
20219021,12060,0
20219071,10314,0
20219527,10327,0
20220124,7905,0
20220839,8279,0
20220909,8902,0
20221455,7303,0
20221787,8539,0
20221980,10276,0
20222008,12162,0
20222073,9553,0
20222165,9505,0
20222869,8780,0
20223456,8786,0
20224926,8475,0
20225312,9558,0
20225416,9199,0
20225586,9181,0
20225900,8288,0
20226198,11604,0
20226219,13318,0
20226514,10665,0
20226554,12071,0
20228368,9190,0
20228502,6914,0
20228587,8820,0
20229007,8126,0
20229672,6677,0
20230089,9686,0
20230111,8830,0
20230118,8292,0
20230420,2781,0
20230549,7484,0
20230599,8335,0
20230979,7575,0
20231134,9110,0
20231792,11142,0
20231937,9037,0
20232368,8141,0
20232382,8295,0
20232691,8071,0
20234061,9749,0
20234145,6939,0
20234341,12369,0
20235086,8294,0
20235700,7357,0
20235756,10956,0
20236716,12622,0
20237442,9596,0
20237551,9414,0
20237805,10128,0
20238063,10974,0
20238456,14179,0
20239849,6221,0
20240320,9294,0
20241370,10305,0
20241596,26848,0
20241662,9360,0
20242147,8003,0
20242187,14122,0
20242191,7996,0
20242211,7826,0
20242216,8201,0
20242450,7597,0
20242643,7303,0
20242708,7386,0
20243025,25995,0
20243147,12404,0
20243298,9234,0
20243566,11554,0
20244670,8299,0
20244977,7697,0
20246138,18043,0
20247156,8495,0
20247360,4652,0
20247517,8459,0
20248083,11372,0
20248590,10879,0
20248818,10362,0
20248926,8800,0
20249595,11322,0
20249615,9311,0
20249816,6796,0
20249886,12231,0
20250162,7147,0
20250458,8035,0
20250577,7603,0
20250614,6670,0
20250620,7462,0
20250680,16106,0
20250697,8661,0
20250706,7268,0
20251346,12496,0
20251722,10224,0
20251732,9145,0
20252091,8836,0
20252373,8849,0
20252399,8116,0
20252558,8834,0
20252793,8665,0
20253062,7733,0
20253106,8357,0
20253586,7889,0
20253841,8015,0
20254417,7714,0
20254419,8829,0
20255071,8484,1
20255501,6553,0
20256004,8059,0
20256412,11378,0
20256670,12390,0
20257744,9202,0
20257838,14974,0
20258325,8560,0
20259221,8776,0
20259802,7867,0
20260141,9049,0
20260277,6283,0
20261938,8653,0
20262623,5827,0
20263976,27711,0
20264308,9648,0
20264357,8000,0
20264993,7939,0
20265032,7922,0
20265187,8061,0
20265196,7775,0
20265482,6907,0
20265661,7393,0
20265962,8681,0
20267131,9524,0
20267136,9242,0
20267221,6976,0
20267223,9164,0
20267270,10959,0
20267337,8540,0
20267494,8350,0
20267720,8160,0
20267729,7646,0
20267759,26155,0
20267940,8032,0
20269690,10195,0
20271480,12478,0
20274138,8465,0
20274855,12568,0
20275545,9565,0
20275558,14436,0
20275611,17894,0
20275677,8328,0
20275714,8829,0
20275792,8510,0
20275974,5457,0
20275975,7352,0
20275976,8894,0
20276033,8828,0
20276049,8521,0
20276111,10230,0
20276392,8483,0
20276397,10809,0
20276409,8096,0
20276468,7915,0
20276660,7022,0
20276703,7688,0
20276732,7959,0
20276770,7680,0
20276786,8471,0
20276891,7150,0
20277039,7674,0
20277127,9067,0
20277142,7294,0
20277279,7096,0
20277473,7939,0
20277475,3563,0
