id,diameter,absolute_magnitude,slope_parameter,albedo,rotational_period_hrs,gravitational_param,spectral_class_b,spectral_class_t
1003435,,,,,21.04,,,
1001542,,,,,,,,
1003263,,,,,,,,
1003346,,,,,,,,
1003006,,,,,,,,
1003292,,,,,,,,
1003467,,,,,,,,
1003451,,,,,36.6,,,
1003925,,,,,,,,
1003138,,,,,,,,
1003635,,,,,,,,
1003654,,,,,,,,
1004010,,,,,,,,
1000703,,,,,,,,
1000705,,,,,,,,
1000889,,,,,,,,
1000927,,,,,,,,
1000954,,,,,,,,
1000981,,,,,,,,
1000985,,,,,,,,
1000024,,,,,,,,
1001031,,,,,,,,
1001045,,,,,,,,
1001109,,,,,,,,
1000037,,,,,,,,
1001234,,,,,,,,
1000129,11.6,,,,,,,
1001439,,,,,,,,
1000271,,,,,,,,
1000373,13.6,,,0.054,57.12,,,
1000362,,,,,,,,
1001843,,,,,,,,
1001852,,,,,,,,
1002004,,,,,,,,
1001673,,,,,,,,
1002409,,,,,70.7,,,
1002480,,,,,,,,
1003317,,,,,,,,
1003080,,,,,,,,
1003099,,,,,,,,
1003152,,,,,,,,
1003198,,,,,,,,
1003369,,,,,,,,
1003377,,,,,,,,
1003382,,,,,,,,
1003429,,,,,,,,
1003554,,,,,,,,
1003675,,,,,,,,
1003672,,,,,,,,
1003699,,,,,,,,
1003811,,,,,,,,
1003792,,,,,,,,
1003909,,,,,,,,
1003804,,,,,,,,
1003914,,,,,,,,
1003954,,,,,,,,
1004036,,,,,,,,
