spkid,e,q,i,moid,moid_ld
20024445,0.5458,1.004,23.77,0.082,31.9
20024475,0.4417,1.103,14.63,0.151,58.8
20024761,0.3058,0.927,21.92,0.1,39
20025143,0.2802,0.953,1.62,0.0133,5.17
20025330,0.3709,0.969,14.33,0.173,67.4
20025916,0.4998,1.279,15.76,0.273,106
20026166,0.6445,1.174,14.79,0.271,105
20026310,0.4695,1.135,5.38,0.155,60.2
20026379,0.5763,0.680,8.68,0.131,50.9
20026663,0.4718,0.817,13.53,0.0351,13.7
20026760,0.5570,1.264,11.01,0.26,101
20026817,0.5937,1.140,3.50,0.127,49.3
20027002,0.4335,0.988,8.70,0.00233,0.907
20027031,0.4263,1.227,5.36,0.231,89.9
20027346,0.3990,1.127,36.95,0.443,172
20029075,0.5075,0.837,12.15,0.0398,15.5
20030825,0.6809,0.777,8.74,0.07,27.2
20030997,0.6431,0.557,36.25,0.405,157
20031210,0.5020,1.298,8.96,0.356,139
20031221,0.2570,1.280,20.22,0.292,113
20031345,0.3914,1.226,6.50,0.234,90.9
20031346,0.4295,1.159,5.97,0.142,55.3
20031662,0.5479,0.722,18.82,0.125,48.5
20031669,0.5778,0.902,9.54,0.000997,0.388
20032906,0.4404,1.257,18.94,0.452,176
20033342,0.4177,0.419,7.37,0.0105,4.07
20034613,0.3858,1.272,6.18,0.282,110
20035107,0.1437,0.973,13.92,0.0271,10.5
20035396,0.4838,0.745,4.10,0.000331,0.129
20035432,0.5457,1.136,13.15,0.152,59.1
20035670,0.5964,0.857,7.14,0.0729,28.4
20036017,0.3142,1.045,5.55,0.0782,30.4
20036183,0.3323,1.036,38.22,0.135,52.5
20036236,0.4239,0.768,58.04,0.231,89.8
20036284,0.5539,0.662,46.78,0.269,105
20037336,0.4831,1.165,36.67,0.352,137
20037638,0.5200,0.918,5.08,0.00121,0.47
20037655,0.7524,0.366,18.03,0.0247,9.6
20038071,0.5070,1.031,12.73,0.0316,12.3
20038086,0.5662,0.616,23.67,0.385,150
20038091,0.4011,1.299,9.33,0.306,119
20038239,0.5757,0.864,9.40,0.0547,21.3
20039557,0.4262,1.299,5.55,0.297,116
20039565,0.3342,1.093,8.60,0.0918,35.7
20039572,0.4928,1.033,10.03,0.0263,10.2
20039796,0.4683,1.197,12.93,0.188,73.1
20040263,0.1610,1.254,25.84,0.257,99.8
20040267,0.8084,0.257,34.48,0.156,60.8
20040329,0.4550,1.234,2.52,0.225,87.6
20041429,0.5556,0.708,2.17,0.0111,4.33
20041440,0.2114,1.242,15.11,0.235,91.5
20042286,0.3915,0.864,24.08,0.112,43.4
20048603,0.4297,1.094,5.02,0.137,53.3
20052340,0.5479,1.000,8.08,0.0991,38.6
20052381,0.1441,1.094,7.73,0.168,65.5
20052387,0.1897,1.039,24.15,0.0604,23.5
20052689,0.2926,1.105,10.98,0.21,81.9
20052750,0.5249,0.678,11.17,0.163,63.3
20052760,0.6236,0.907,2.43,0.017,6.6
20052761,0.2243,1.206,19.49,0.192,74.6
20052762,0.6532,0.838,33.87,0.137,53.4
20052768,0.5757,1.010,5.88,0.00584,2.27
20053110,0.2146,1.292,40.63,0.409,159
20053319,0.6415,0.976,13.84,0.0262,10.2
20053409,0.6281,0.781,10.88,0.0871,33.9
20053426,0.5397,0.885,22.77,0.0283,11
20053429,0.6411,0.726,26.78,0.0505,19.6
20053430,0.4032,1.253,60.41,0.291,113
20053435,0.4831,1.195,15.35,0.205,79.9
20053550,0.4197,0.868,7.18,0.0468,18.2
20053789,0.2692,1.002,40.78,0.0478,18.6
20054071,0.1974,1.067,23.44,0.124,48.3
20054401,0.2623,1.262,18.95,0.354,138
20054509,0.2300,0.775,1.60,0.000495,0.193
20054660,0.2806,1.062,46.69,0.0874,34
20054686,0.3418,1.170,33.21,0.434,169
20054690,0.2565,1.212,35.36,0.411,160
20054789,0.2874,1.266,24.47,0.292,114
20055408,0.2246,0.853,30.39,0.147,57.4
20055532,0.6952,0.547,38.54,0.339,132
20065674,0.3439,1.092,10.95,0.132,51.5
20065679,0.2645,0.673,1.30,0.014,5.44
20065690,0.3633,0.909,11.14,0.0383,14.9
20065706,0.5552,1.067,9.63,0.0629,24.5
20065717,0.2810,1.003,2.81,0.0473,18.4
20065733,0.4744,0.607,4.14,0.066,25.7
20065803,0.3832,1.013,3.41,0.0397,15.4
20065909,0.5397,0.502,3.56,0.013,5.05
20065996,0.6061,1.155,9.56,0.195,76.1
20066008,0.3627,0.909,61.01,0.0776,30.2
20066063,0.7200,0.277,22.69,0.0922,35.9
20066146,0.4837,0.407,5.42,0.0738,28.7
20066251,0.1981,1.231,11.28,0.247,96.2
20066253,0.8378,0.216,19.50,0.195,75.7
20066272,0.1433,1.291,51.31,0.409,159
20066391,0.6884,0.200,38.88,0.0119,4.61
20066400,0.5725,0.366,9.06,0.0589,22.9
20066407,0.1201,1.055,21.77,0.0955,37.2
20066959,0.5654,1.103,20.62,0.276,107
20067367,0.2126,1.030,9.02,0.0466,18.1
20067381,0.5429,0.604,10.67,0.0183,7.13
20067399,0.3461,0.851,14.69,0.0519,20.2
20068031,0.1285,1.200,15.17,0.229,89.1
20068063,0.4577,1.266,5.72,0.274,106
20068216,0.3267,0.889,17.99,0.0242,9.42
20068267,0.4273,0.865,38.82,0.059,22.9
20068278,0.1143,1.272,2.62,0.263,102
20068346,0.4165,0.880,16.70,0.0385,15
20068347,0.3799,0.596,17.13,0.0157,6.1
20068348,0.8409,0.343,25.36,0.386,150
20068350,0.2475,1.256,29.57,0.302,117
20068359,0.1742,1.253,9.86,0.279,108
20068372,0.4156,0.946,8.11,0.00522,2.03
20068548,0.4367,0.962,22.71,0.0265,10.3
20068950,0.3443,0.693,25.15,0.00477,1.86
20069230,0.6239,0.622,6.07,0.00491,1.91
20085182,0.7776,0.494,3.12,0.016,6.22
20085184,0.1845,1.121,33.88,0.145,56.3
20085236,0.3111,0.850,12.81,0.000641,0.249
20085275,0.4419,1.055,17.71,0.0637,24.8
20085490,0.6599,1.280,2.58,0.276,107
20085585,0.3563,0.835,4.08,0.0211,8.21
20085628,0.3316,1.064,13.03,0.143,55.7
20085640,0.4857,0.813,4.52,0.000709,0.276
20085709,0.3376,1.090,24.83,0.122,47.6
20085713,0.6388,0.695,10.79,0.00504,1.96
20085770,0.3452,0.653,33.18,0.0836,32.5
20085774,0.3289,0.941,13.59,0.0358,13.9
20085804,0.3544,1.111,27.66,0.371,144
20085818,0.4160,0.967,62.72,0.108,42.1
20085839,0.2481,1.243,9.32,0.239,93
20085867,0.3022,1.277,0.95,0.279,109
20085938,0.4845,0.955,9.14,0.0253,9.84
20085953,0.7030,0.219,12.60,0.0706,27.5
20085989,0.6329,0.324,17.07,0.0483,18.8
20085990,0.3115,0.695,5.36,0.0313,12.2
20086039,0.5789,0.741,7.13,0.025,9.74
20086067,0.3234,1.229,30.55,0.364,142
20086324,0.4345,1.112,34.61,0.341,133
20086326,0.3627,1.175,34.31,0.279,109
20086450,0.4148,0.567,18.11,0.125,48.7
20086666,0.4270,0.838,29.01,0.0815,31.7
20086667,0.5946,0.348,14.29,0.133,51.8
20086819,0.5059,0.986,10.06,0.0163,6.35
20086829,0.5750,0.622,14.37,0.203,79.1
20086878,0.6186,0.512,9.47,0.103,40
20087024,0.1898,0.970,14.43,0.0954,37.1
20087025,0.4836,0.633,25.32,0.351,137
20087309,0.4632,0.455,34.74,0.201,78.2
20087311,0.5121,0.776,7.70,0.109,42.4
20087684,0.6427,0.307,19.22,0.0468,18.2
20088188,0.3913,1.222,11.34,0.232,90.4
20088213,0.5953,0.386,17.81,0.172,67
20088254,0.6295,0.438,1.52,0.01,3.91
20088263,0.4326,1.190,38.79,0.375,146
20088264,0.4533,1.174,12.08,0.168,65.4
20088710,0.2701,0.775,21.90,0.199,77.4
20088959,0.5636,0.752,53.83,0.0524,20.4
20089136,0.2528,1.013,1.91,0.0282,11
20089355,0.3083,1.236,22.66,0.444,173
20089830,0.5070,1.024,43.64,0.0281,10.9
20089958,0.8864,0.187,9.90,0.000201,0.0781
20089959,0.5284,0.818,42.36,0.00088,0.342
20090075,0.5742,0.910,8.86,0.0272,10.6
20090147,0.3315,0.986,28.00,0.188,73
20090367,0.4262,0.663,16.88,0.151,58.9
20090373,0.2045,1.294,9.87,0.317,124
20090403,0.2800,0.889,19.01,0.0377,14.7
20090416,0.4922,0.861,7.83,0.00149,0.578
20096189,0.3070,1.262,14.00,0.332,129
20096315,0.6436,0.514,6.65,0.111,43
20096536,0.7770,0.514,41.06,0.451,176
20096590,0.3512,0.589,13.60,0.114,44.3
20096631,0.2596,1.258,1.77,0.246,95.6
20096744,0.7791,0.463,34.72,0.363,141
20097725,0.3089,1.243,18.19,0.282,110
20098943,0.2192,0.806,4.81,0.0831,32.3
20099248,0.5077,0.919,10.61,0.0464,18
20099799,0.2756,1.059,7.56,0.12,46.9
20099907,0.5947,0.295,28.80,0.155,60.1
20099935,0.6450,0.587,12.77,0.168,65.3
20099942,0.1912,0.746,3.34,0.000361,0.14
20100004,0.7027,0.770,15.70,0.174,67.8
20100085,0.6187,1.011,2.64,0.0248,9.67
20100756,0.5546,1.009,11.57,0.093,36.2
20100926,0.4075,1.056,24.24,0.129,50.3
20101869,0.6107,0.632,4.77,0.00159,0.621
20101873,0.3931,1.232,45.79,0.438,170
20101955,0.2037,0.897,6.03,0.00322,1.25
20102873,0.4676,1.136,7.45,0.142,55.3
20103067,0.5812,0.772,38.57,0.0403,15.7
20105140,0.8169,0.167,32.54,0.356,138
20105141,0.1890,1.152,14.83,0.212,82.3
20106538,0.7656,0.567,10.34,0.126,49
20106589,0.6178,0.820,14.37,0.14,54.4
20108519,0.2710,1.169,16.40,0.159,61.7
20108906,0.3604,0.790,20.93,0.194,75.4
20111253,0.4398,0.982,42.04,0.0314,12.2
20112221,0.4435,1.264,58.67,0.253,98.5
20112985,0.4922,1.128,46.99,0.414,161
20115052,0.3182,1.138,31.32,0.394,153
20136564,0.3942,1.130,2.98,0.137,53.3
20136582,0.0680,1.250,10.50,0.274,107
20136617,0.4174,0.954,4.68,0.0169,6.57
20136618,0.3950,0.952,1.44,0.0124,4.82
20136635,0.1749,1.298,7.64,0.314,122
20136745,0.4841,1.220,17.78,0.299,117
20136770,0.4514,1.009,25.10,0.0886,34.5
20136773,0.1803,1.299,22.10,0.379,148
20136793,0.4654,0.613,17.37,0.186,72.5
20136795,0.4781,0.912,10.99,0.0367,14.3
20136818,0.3463,0.613,12.78,0.112,43.7
20136839,0.3058,1.031,8.16,0.13,50.7
20136849,0.5783,0.629,7.79,0.0197,7.65
20136874,0.8840,0.255,21.14,0.236,91.7
20136897,0.1247,1.193,38.88,0.264,103
20136900,0.6367,0.635,10.98,0.0841,32.7
20136923,0.4417,1.191,6.62,0.218,84.8
20136993,0.5955,0.934,24.47,0.055,21.4
20137032,0.7634,0.378,25.47,0.0596,23.2
20137044,0.4292,1.295,4.38,0.307,120
20137052,0.8097,0.238,14.90,0.0682,26.5
20137062,0.3153,0.838,22.52,0.17,66.2
20137064,0.1951,1.106,19.50,0.244,95.1
20137078,0.6379,0.702,23.15,0.301,117
20137084,0.4966,0.610,26.56,0.408,159
20137099,0.4628,0.591,28.79,0.388,151
20137108,0.5620,0.639,39.93,0.00067,0.261
20137120,0.5489,0.857,8.97,0.0227,8.84
20137125,0.1319,1.239,34.23,0.378,147
20137126,0.6008,0.707,5.54,0.0177,6.89
20137158,0.6069,0.464,12.90,0.198,76.9
20137170,0.4625,0.440,25.66,0.175,67.9
20137175,0.3412,0.831,16.43,0.107,41.6
20137199,0.2926,1.031,16.57,0.191,74.1
20137427,0.6118,0.947,39.51,0.0292,11.3
20137671,0.1843,1.170,21.10,0.194,75.4
20137799,0.0746,1.223,6.79,0.215,83.5
20137802,0.3518,1.151,31.59,0.437,170
20137805,0.5583,0.366,16.75,0.114,44.5
20137911,0.4946,1.164,3.76,0.164,63.8
20137924,0.8950,0.092,25.75,0.0904,35.2
20137925,0.7638,0.305,31.12,0.39,152
20138013,0.6348,0.584,15.98,0.108,42.1
20138095,0.4145,1.040,60.68,0.049,19.1
20138127,0.5331,0.309,26.46,0.0239,9.31
20138155,0.3195,1.231,25.45,0.429,167
20138175,0.2933,0.709,5.23,0.00936,3.64
20138205,0.6119,1.003,11.18,0.0937,36.5
20138258,0.4767,0.397,32.14,0.0706,27.5
20138325,0.8047,0.422,25.73,0.372,145
20138359,0.3613,0.729,20.24,0.262,102
20138404,0.3186,0.776,2.16,0.0275,10.7
20138524,0.5677,1.019,6.24,0.0287,11.2
20138727,0.6052,0.831,11.92,0.0349,13.6
20138815,0.3807,1.295,8.24,0.303,118
20138846,0.5647,0.950,18.69,0.177,69.1
20138847,0.2877,1.153,22.18,0.155,60.5
20138852,0.2980,0.703,21.52,0.125,48.7
20138859,0.5315,0.737,13.16,0.142,55.1
20138877,0.5430,0.978,25.32,0.1,39.1
20138883,0.3440,1.008,21.89,0.138,53.9
20138893,0.7436,0.301,18.36,0.165,64.1
20138911,0.0817,1.239,1.66,0.232,90.3
20138925,0.3765,1.183,72.15,0.211,82
20138937,0.6780,0.667,31.81,0.0623,24.2
20138947,0.2537,0.835,12.85,0.183,71.1
20138971,0.3334,0.689,7.92,0.0242,9.43
20139047,0.3859,1.143,47.00,0.163,63.3
20139056,0.3280,1.267,4.73,0.271,105
20139211,0.4519,1.019,26.06,0.0244,9.48
20139289,0.8412,0.200,23.26,0.179,69.5
20139345,0.7019,0.538,22.28,0.262,102
20139359,0.8698,0.343,5.96,0.0133,5.18
20139622,0.3101,0.980,9.34,0.0111,4.34
20140039,0.5677,0.787,4.85,0.0455,17.7
20140158,0.4609,0.726,2.52,0.0261,10.2
20140288,0.5082,0.877,53.19,0.0189,7.35
20140333,0.4816,0.499,19.03,0.185,71.8
20140928,0.2970,1.068,20.66,0.246,95.9
20141018,0.2411,1.061,2.87,0.0773,30.1
20141052,0.5501,0.560,17.67,0.103,40.1
20141053,0.5795,0.643,2.73,0.0413,16.1
20141056,0.4440,1.010,28.89,0.145,56.5
20141078,0.4509,1.023,11.47,0.189,73.5
20141079,0.8282,0.200,28.54,0.303,118
20141354,0.4506,1.093,10.93,0.0879,34.2
20141424,0.1768,0.807,6.88,0.0723,28.1
20141432,0.4275,0.559,2.47,0.0197,7.68
20141447,0.5025,1.188,31.95,0.201,78.4
20141484,0.3695,0.541,16.60,0.154,59.8
20141495,0.8021,0.220,2.35,0.000991,0.386
20141498,0.5666,0.399,30.14,0.176,68.6
20141525,0.7245,0.299,34.04,0.036,14
20141526,0.3223,0.687,30.10,0.316,123
20141527,0.6267,0.565,9.20,0.041,16
20141531,0.5290,0.467,22.55,0.28,109
20141593,0.5287,0.944,2.35,0.024,9.36
20141614,0.5362,0.753,7.19,0.0396,15.4
20141670,0.4849,1.230,13.32,0.222,86.2
20141761,0.5095,1.263,18.93,0.263,103
20141765,0.4689,1.062,33.07,0.392,153
20141851,0.8502,0.179,19.14,0.0389,15.1
20141874,0.3488,1.195,10.99,0.278,108
20142040,0.3444,1.093,28.25,0.116,45.2
20142348,0.4574,1.121,6.07,0.147,57.1
20142464,0.1548,1.043,16.28,0.058,22.6
20142555,0.5633,1.150,23.40,0.429,167
20142561,0.2935,1.183,16.66,0.249,97
20142563,0.3437,1.089,20.49,0.102,39.7
20142781,0.3878,1.194,41.02,0.311,121
20143381,0.5106,1.270,5.47,0.296,115
20143404,0.6077,0.772,2.66,0.0175,6.83
20143409,0.3506,1.266,8.16,0.282,110
20143487,0.7299,0.574,4.99,0.00027,0.105
20143527,0.3521,1.076,17.31,0.191,74.3
20143624,0.5774,0.831,35.54,0.0529,20.6
20143637,0.8837,0.203,43.56,0.341,133
20143643,0.4183,1.268,11.15,0.274,107
20143649,0.1870,0.882,62.10,0.00163,0.635
20143651,0.5261,1.011,11.62,0.00189,0.736
20143678,0.3287,1.107,13.86,0.151,58.6
20143947,0.6543,0.754,21.03,0.103,40
20143992,0.5537,0.880,27.13,0.0329,12.8
20144332,0.2897,1.011,55.89,0.0056,2.18
20144411,0.5339,0.894,8.79,0.0915,35.6
20144861,0.7492,0.629,39.42,0.357,139
20144898,0.5888,0.620,4.22,0.00176,0.684
20144900,0.6557,0.333,36.25,0.0276,10.8
20144901,0.5219,0.784,13.04,0.0562,21.9
20144922,0.4123,1.253,8.23,0.258,101
20145656,0.5548,1.176,11.08,0.257,100
20152558,0.4413,1.125,38.14,0.308,120
20152560,0.3980,0.869,3.45,0.0206,8.01
20152561,0.4857,0.748,19.57,0.0387,15.1
20152563,0.2717,0.661,7.25,0.0626,24.4
20152564,0.5617,0.610,13.32,0.12,46.7
20152575,0.5276,1.266,12.35,0.259,101
